2019-05-23_22-09-48_Accelerometer
measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
175,-0.13427734,-0.26416016,-0.17327881,233.75572,133.53435,-139.96184,1
176,-0.07305908,-0.12432861,-0.16253662,176.98473,172.24428,-167.68703,1
177,-0.103027344,-0.013793945,-0.11907959,71.503815,220.05344,-109.56489,1
178,-0.10192871,0.023864746,-0.058532715,99.32061,99.496185,-57.908398,1
179,-0.07086182,0.087890625,-0.07891846,136.32825,95.091606,-1.3053435,1
180,-0.09448242,0.14953613,-0.046875,81.23664,204.56488,41.419846,1
181,-0.07940674,0.13995361,-0.037719727,-67.66412,3.5419848,108.9313,1
182,-0.09210205,-0.4798584,-0.29699707,-250.1374,-171.69466,-31.51145,1
183,-0.111083984,-0.39215088,-0.28326416,-102.03053,-93.83206,-49.900764,1
184,-0.00793457,-0.20385742,-0.086364746,144.64885,-86.458015,-54.885498,1
185,0.03894043,-0.12860107,-0.0826416,-11.458015,-59.59542,-1.9236641,1
186,0.054138184,-0.10107422,-0.012207031,72.25191,-27.412214,-25.12977,1
187,0.06384277,-0.05706787,0.015808105,62.580154,-41.85496,-78.41222,1
188,0.059020996,-0.041931152,0.064697266,1.8931298,21.87023,-73.26717,1
189,0.052124023,-0.059509277,0.07489014,19.557251,-15.977099,-50.664124,1
190,0.101989746,-0.010803223,0.070495605,151.08397,-28.396946,-45.458015,1
191,0.07366943,-0.16064453,1.8310547E-04,-27.786259,117.94656,-30.70229,1
192,0.032836914,-0.34747314,-0.19445801,12.80916,121.76336,-90.63359,1
193,0.0040893555,-0.44396973,-0.19696045,250.12978,67.55725,-123.40458,1
194,-0.07800293,-0.4244995,-0.30645752,212.05344,250.12978,-82.41222,1
195,-0.17095947,-0.2998047,-0.24511719,250.12978,223.55725,-171.80153,1
196,-0.15893555,-0.10211182,-0.17321777,250.12978,217.74046,-201.45801,1
197,-0.11755371,-0.017700195,-0.085876465,-123.31298,148.1374,-184.9084,1
198,-0.08526611,-0.060180664,-0.07550049,-105.08397,45.045803,-102.69466,1
199,-0.067993164,0.02154541,-0.022949219,71.71756,188.16031,-8.091603,1
200,-0.10821533,0.09661865,-0.024902344,29.473282,129.92366,42.709923,1
201,-0.105163574,0.10089111,-0.009094238,-5.923664,72.52672,59.53435,1
202,-0.09625244,0.09716797,0.02734375,-12.610687,54.17557,88.259544,1
203,-0.104003906,0.0826416,-0.027526855,-128.91603,-26.343512,172.32825,1
204,-0.14465332,0.057556152,-0.016906738,-188.08397,-100.31298,183.48856,1
205,-0.20379639,-0.0670166,-0.08673096,-250.1374,-197.47328,172.19847,1
206,-0.34350586,-0.35681152,-0.23248291,-250.1374,-250.1374,214.48091,1
207,-0.22320557,-0.49475098,-0.33093262,30.42748,-250.1374,135.16794,1
208,-0.106933594,-0.3135376,-0.13873291,7.114504,-73.67939,72.92367,1
209,-0.10748291,-0.27038574,-0.08331299,-250.1374,-130.7481,65.19084,1
210,0.008483887,-0.22912598,-0.026000977,-250.1374,-204.77863,-30.23664,1
211,0.054626465,-0.23779297,-0.053527832,-238.61069,-54.290077,-54.458015,1
212,0.009643555,-0.20776367,0.020080566,-56.59542,-88.862595,-82.73283,1
213,0.015625,-0.34265137,-0.124938965,126.35878,7.9923663,-135.39694,1
214,-0.064941406,-0.4423828,-0.22259521,124.96947,227.23665,-86.58778,1
215,-0.19360352,-0.35021973,-0.20306396,250.12978,188.71756,-118.91603,1
216,-0.16601562,-0.107177734,-0.15557861,250.12978,140.23665,-149.15266,1
217,-0.093566895,0.04815674,-0.08972168,-41.007633,18.694656,-171.71756,1
218,-0.06549072,0.005065918,-0.09820557,-250.1374,46.40458,-142.61069,1
219,-0.04534912,-0.041992188,-0.0048828125,-129.45038,52.67939,-86.0687,1
220,-0.11602783,0.026306152,-0.0126953125,3.2290077,123.40458,0.870229,1
221,-0.094177246,0.065979004,0.011108398,-16.068703,109.740456,35.51145,1
222,-0.07788086,0.072509766,-0.013000488,-38.290077,128.82443,100.94656,1
223,-0.08648682,0.084350586,-0.010925293,-53.52672,97.83206,130.31297,1
224,-0.07611084,0.071899414,-0.022155762,-151.84734,22.778625,161.70229,1
225,-0.08862305,0.020141602,-0.026550293,-208.51144,-49.900764,160.87787,1
226,-0.12854004,-0.110839844,-0.019836426,-188.64122,-159.80916,120.87786,1
227,-0.20385742,-0.62713623,-0.27490234,-80.08397,-250.1374,171.70229,1
228,-0.14050293,-0.38085938,-0.043762207,250.12978,-28.114504,64.541985,1
