measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
78.0,0.08404541,-0.018127441,0.034362793,-16.755726,-20.862595,-62.34351,257.0,-29556.0,0.0
79.0,0.1027832,-0.017944336,0.028808594,-34.900764,-41.267174,-110.96183,257.0,-29556.0,0.0
80.0,0.10687256,-0.019348145,0.024597168,-53.419846,-60.366413,-147.73282,257.0,-29556.0,0.0
81.0,0.112976074,-0.025878906,0.034484863,-61.53435,-77.96947,-190.87787,257.0,-29556.0,0.0
82.0,0.11645508,-0.031311035,0.02734375,-53.82443,-87.419846,-224.29771,257.0,-29556.0,0.0
83.0,0.12158203,-0.039978027,0.051940918,-22.312977,-103.64886,-250.1374,257.0,-29556.0,0.0
84.0,0.14245605,-0.04925537,0.055908203,22.25191,-114.73283,-250.1374,257.0,-29556.0,0.0
85.0,0.16638184,-0.04699707,0.039978027,69.72519,-116.47328,-250.1374,257.0,-29556.0,0.0
86.0,0.17718506,-0.019470215,0.005554199,65.45038,-84.73283,-233.69466,257.0,-29556.0,0.0
87.0,0.16479492,4.272461E-4,0.012756348,15.916031,-52.51145,-169.19847,257.0,-29556.0,0.0
88.0,0.16296387,0.006225586,0.0335083,-53.076336,-49.900764,-99.44275,257.0,-29556.0,0.0
89.0,0.16064453,-0.0072021484,0.042297363,-104.03817,-43.954197,-54.244274,257.0,-29556.0,0.0
90.0,0.14733887,-0.026489258,0.044555664,-135.41222,-42.32061,-15.427481,257.0,-29556.0,0.0
91.0,0.13635254,-0.047302246,0.06188965,-135.54962,-48.52672,-3.946565,257.0,-29556.0,0.0
92.0,0.12030029,-0.055603027,0.04168701,-92.740456,-39.27481,-11.984733,257.0,-29556.0,0.0
93.0,0.109313965,-0.047546387,0.04034424,-35.732826,-32.732826,-22.076336,257.0,-29556.0,0.0
94.0,0.10235596,-0.038757324,0.04296875,9.885496,-27.08397,-24.610687,257.0,-29556.0,0.0
95.0,0.10449219,-0.029846191,0.050476074,20.007633,-22.305344,-29.625954,257.0,-29556.0,0.0
96.0,0.10620117,-0.02545166,0.0524292,8.847328,-16.641222,-43.10687,257.0,-29556.0,0.0
97.0,0.109313965,-0.024719238,0.056640625,-20.068703,-11.564885,-54.9771,257.0,-29556.0,0.0
98.0,0.11566162,-0.03173828,0.05517578,-39.564884,-7.0,-54.809162,257.0,-29556.0,0.0
99.0,0.121032715,-0.037597656,0.055236816,-45.053436,-4.59542,-64.55725,257.0,-29556.0,0.0
100.0,0.13122559,-0.0446167,0.04937744,-40.839695,-0.49618322,-74.65649,257.0,-29556.0,0.0
101.0,0.13439941,-0.053833008,0.056274414,-20.694656,0.8091603,-73.16031,257.0,-29556.0,0.0
102.0,0.1529541,-0.060791016,0.059692383,6.145038,-0.77099234,-64.70992,257.0,-29556.0,0.0
103.0,0.16027832,-0.05895996,0.053894043,31.167938,18.778625,-54.427483,257.0,-29556.0,0.0
104.0,0.1404419,-0.056030273,0.047851562,40.49618,39.67939,0.48854962,257.0,-29556.0,0.0
105.0,0.12597656,-0.04663086,0.04168701,47.38168,59.007633,54.587788,257.0,-29556.0,0.0
106.0,0.14086914,-0.037475586,0.032043457,62.030533,53.06107,99.15267,257.0,-29556.0,0.0
107.0,0.18286133,-0.028381348,0.01763916,72.31298,80.145035,138.89313,257.0,-29556.0,0.0
108.0,0.1928711,-0.024230957,0.011962891,74.061066,109.175575,178.9771,257.0,-29556.0,0.0
109.0,0.20227051,-0.019470215,0.016357422,61.427483,123.221375,199.52672,257.0,-29556.0,0.0
110.0,0.20227051,-0.018310547,0.023620605,34.46565,121.9771,217.61069,257.0,-29556.0,0.0
111.0,0.19152832,-0.015014648,0.026245117,-5.2824426,107.221375,227.57253,257.0,-29556.0,0.0
112.0,0.17663574,-0.018066406,0.024963379,-32.748093,88.08397,230.9542,257.0,-29556.0,0.0
113.0,0.16107178,-0.020202637,0.020324707,-44.34351,62.89313,227.76335,257.0,-29299.0,0.0
114.0,0.14471436,-0.022766113,0.01953125,-33.160305,48.12214,220.83206,257.0,-29299.0,0.0
115.0,0.11968994,-0.02557373,0.024597168,-2.3282442,39.519085,210.28244,257.0,-29299.0,0.0
116.0,0.0982666,-0.027282715,0.033325195,32.625954,35.580154,196.23665,257.0,-29299.0,0.0
117.0,0.08917236,-0.026794434,0.0357666,61.519085,34.633587,176.56488,257.0,-29299.0,0.0
118.0,0.082336426,-0.018615723,0.035949707,75.854965,33.84733,154.35115,257.0,-29299.0,0.0
119.0,0.06793213,-0.017211914,0.04284668,82.79389,32.87786,132.32062,257.0,-29299.0,0.0
120.0,0.055664062,-0.01586914,0.04852295,75.76336,30.641222,103.16031,257.0,-29299.0,0.0
121.0,0.0546875,-0.010620117,0.048706055,59.85496,23.435114,67.61069,257.0,-29299.0,0.0
122.0,0.053222656,-0.005859375,0.04663086,22.816793,14.80916,35.244274,257.0,-29299.0,0.0
123.0,0.052124023,-0.0037841797,0.046020508,-24.198473,4.19084,-2.0992367,257.0,-29299.0,0.0
124.0,0.05065918,-0.0119018555,0.048034668,-57.29771,-9.633588,-45.46565,257.0,-29299.0,0.0
125.0,0.07128906,-0.021240234,0.04248047,-71.45038,-32.160305,-90.51145,257.0,-29299.0,0.0
126.0,0.09069824,-0.02178955,0.034729004,-79.64886,-41.67939,-139.40459,257.0,-29299.0,0.0
127.0,0.10949707,-0.023498535,0.029968262,-84.96183,-57.52672,-192.24428,257.0,-29299.0,0.0
